iter	Passed	Remaining
660	7272	3729
661	7284	3719
662	7313	3717
663	7333	3711
664	7348	3701
665	7358	3690
666	7374	3681
667	7388	3672
668	7398	3660
669	7407	3648
670	7418	3637
671	7427	3625
672	7436	3613
673	7446	3601
674	7456	3590
675	7465	3578
676	7475	3566
677	7486	3555
678	7496	3544
679	7507	3533
680	7518	3521
681	7527	3509
682	7536	3498
683	7546	3486
684	7555	3474
685	7564	3462
686	7573	3450
687	7583	3438
688	7591	3426
689	7600	3414
690	7610	3403
691	7618	3390
692	7627	3379
693	7636	3366
694	7645	3355
695	7653	3343
696	7662	3331
697	7671	3319
698	7681	3307
699	7689	3295
700	7698	3283
701	7706	3271
702	7715	3259
703	7724	3247
704	7732	3235
705	7741	3223
706	7749	3211
707	7758	3200
708	7767	3188
709	7776	3176
710	7784	3164
711	7793	3152
712	7800	3140
713	7809	3128
714	7817	3115
715	7825	3104
716	7833	3092
717	7842	3080
718	7850	3068
719	7859	3056
720	7867	3044
721	7875	3032
722	7883	3020
723	7891	3008
724	7899	2996
725	7908	2984
726	7916	2972
727	7927	2961
728	7936	2950
729	7945	2938
730	7955	2927
731	7963	2915
732	7972	2903
733	7981	2892
734	7989	2880
735	7997	2868
736	8005	2856
737	8012	2844
738	8021	2833
739	8029	2821
740	8037	2809
741	8045	2797
742	8053	2785
743	8061	2773
744	8070	2762
745	8077	2750
746	8086	2738
747	8093	2726
748	8101	2715
749	8110	2703
750	8119	2691
751	8126	2680
752	8135	2668
753	8143	2656
754	8151	2645
755	8159	2633
756	8168	2621
757	8176	2610
758	8184	2598
759	8192	2587
760	8201	2575
761	8209	2564
762	8217	2552
763	8225	2540
764	8233	2529
765	8242	2517
766	8251	2506
767	8260	2495
768	8269	2484
769	8277	2472
770	8286	2461
771	8294	2449
772	8303	2438
773	8311	2426
774	8321	2415
775	8329	2404
776	8338	2393
777	8347	2381
778	8356	2370
779	8365	2359
780	8376	2348
781	8385	2337
782	8394	2326
783	8403	2315
784	8412	2304
785	8420	2292
786	8428	2281
787	8436	2269
788	8445	2258
789	8452	2246
790	8460	2235
791	8469	2224
792	8478	2213
793	8486	2201
794	8495	2190
795	8503	2179
796	8511	2167
797	8519	2156
798	8527	2145
799	8535	2133
800	8543	2122
801	8551	2111
802	8560	2100
803	8568	2088
804	8576	2077
805	8584	2066
806	8592	2054
807	8599	2043
808	8606	2031
809	8614	2020
810	8622	2009
811	8630	1998
812	8637	1986
813	8645	1975
814	8654	1964
815	8661	1953
816	8668	1941
817	8677	1930
818	8684	1919
819	8692	1908
820	8700	1896
821	8709	1885
822	8717	1874
823	8725	1863
824	8733	1852
825	8741	1841
826	8748	1830
827	8756	1819
828	8764	1807
829	8772	1796
830	8780	1785
831	8790	1774
832	8798	1764
833	8807	1753
834	8816	1742
835	8825	1731
836	8833	1720
837	8841	1709
838	8849	1698
839	8857	1687
840	8864	1675
841	8872	1664
842	8879	1653
843	8888	1642
844	8895	1631
845	8902	1620
846	8909	1609
847	8916	1598
848	8924	1587
849	8931	1576
850	8940	1565
851	8949	1554
852	8957	1543
853	8966	1532
854	8974	1521
855	8982	1511
856	8990	1500
857	8998	1489
858	9006	1478
859	9013	1467
860	9021	1456
861	9028	1445
862	9036	1434
863	9044	1423
864	9052	1412
865	9060	1401
866	9068	1391
867	9075	1380
868	9084	1369
869	9092	1358
870	9100	1347
871	9107	1336
872	9115	1326
873	9122	1315
874	9129	1304
875	9137	1293
876	9144	1282
877	9152	1271
878	9159	1260
879	9167	1250
880	9175	1239
881	9182	1228
882	9190	1217
883	9198	1207
884	9205	1196
885	9213	1185
886	9221	1174
887	9228	1164
888	9237	1153
889	9245	1142
890	9254	1132
891	9263	1121
892	9270	1110
893	9280	1100
894	9287	1089
895	9296	1079
896	9305	1068
897	9313	1057
898	9321	1047
899	9329	1036
900	9336	1025
901	9344	1015
902	9351	1004
903	9359	993
904	9367	983
905	9374	972
906	9382	962
907	9390	951
908	9398	940
909	9405	930
910	9413	919
911	9421	909
912	9429	898
913	9436	887
914	9444	877
915	9452	866
916	9461	856
917	9469	845
918	9477	835
919	9485	824
920	9492	814
921	9500	803
922	9508	793
923	9516	782
924	9523	772
925	9531	761
926	9538	751
927	9546	740
928	9554	730
929	9562	719
930	9570	709
931	9578	698
932	9585	688
933	9593	677
934	9601	667
935	9609	657
936	9617	646
937	9625	636
938	9633	625
939	9640	615
940	9648	604
941	9656	594
942	9664	584
943	9673	573
944	9680	563
945	9689	553
946	9696	542
947	9705	532
948	9713	522
949	9723	511
950	9732	501
951	9740	491
952	9747	480
953	9755	470
954	9762	460
955	9771	449
956	9779	439
957	9788	429
958	9796	418
959	9804	408
960	9811	398
961	9819	387
962	9826	377
963	9834	367
964	9842	356
965	9849	346
966	9857	336
967	9864	326
968	9872	315
969	9879	305
970	9888	295
971	9895	285
972	9903	274
973	9911	264
974	9919	254
975	9928	244
976	9937	233
977	9945	223
978	9955	213
979	9963	203
980	9972	193
981	9980	182
982	9989	172
983	9998	162
984	10008	152
985	10017	142
986	10027	132
987	10037	121
988	10045	111
989	10055	101
990	10063	91
991	10072	81
992	10080	71
993	10089	60
994	10097	50
995	10105	40
996	10114	30
997	10123	20
998	10133	10
999	10142	0
